latency_s,ok,start,end
0.3303050889953738,True,108561.704568286,108562.034873375
0.30917088300338946,True,108561.728048038,108562.037218921
0.35074258501117583,True,108561.716056229,108562.066798814
0.3456445860065287,True,108561.721730044,108562.06737463
0.3500108559965156,True,108561.720665842,108562.070676698
0.3513610130030429,True,108561.72127372,108562.072634733
0.35536517298896797,True,108561.717738178,108562.073103351
0.3694602070027031,True,108561.704055533,108562.07351574
0.35476622299756855,True,108561.719206283,108562.073972506
0.3620157020050101,True,108561.714202486,108562.076218188
0.3613091620063642,True,108561.715074326,108562.076383488
0.36666211500414647,True,108561.711977214,108562.078639329
0.37254654899879824,True,108561.709415269,108562.081961818
0.37267551900004037,True,108561.714647729,108562.087323248
0.655282884996268,True,108561.697218693,108562.352501578
0.6333906200015917,True,108561.719678999,108562.353069619
0.6410788980138022,True,108561.715575217,108562.356654115
0.6510552420077147,True,108561.706070848,108562.35712609
0.6384256770106731,True,108561.718743286,108562.357168963
0.6561174720118288,True,108561.702920563,108562.359038035
0.6420769620017381,True,108561.718235212,108562.360312174
0.6622691429947736,True,108561.703451352,108562.365720495
0.6677439929917455,True,108561.698541898,108562.366285891
0.6492401239956962,True,108561.717109811,108562.366349935
0.6460701300093206,True,108561.729368868,108562.375438998
0.6441314339899691,True,108561.731363322,108562.375494756
0.64909998200892,True,108561.727015838,108562.37611582
0.6439836679928703,True,108561.733118824,108562.377102492
0.6513991679967148,True,108561.725875708,108562.377274876
0.6535233239992522,True,108561.726279511,108562.379802835
0.6517447779915528,True,108561.728272773,108562.380017551
0.674526627000887,True,108561.705547093,108562.38007372
0.647870901011629,True,108561.732245792,108562.380116693
0.5692748690053122,True,108561.813409019,108562.382683888
0.6534651419933653,True,108561.733276019,108562.386741161
0.6617871789931087,True,108561.725335812,108562.387122991
0.6072286700073164,True,108561.786017507,108562.393246177
0.6970276119973278,True,108561.700275697,108562.397303309
0.6752066049957648,True,108561.723214611,108562.398421216
0.6760922510002274,True,108561.722738568,108562.398830819
0.6840097240055911,True,108561.727453526,108562.41146325
0.6808485990040936,True,108561.731079051,108562.41192765
0.6795765129936626,True,108561.732398829,108562.411975342
0.6895730050018756,True,108561.728477861,108562.418050866
0.6863760999985971,True,108561.736812232,108562.423188332
0.6995189790031873,True,108561.724247383,108562.423766362
0.7149009380082134,True,108561.708911974,108562.423812912
0.7016667120042257,True,108561.722184605,108562.423851317
0.6903956589958398,True,108561.733494132,108562.423889791
0.6910052409948548,True,108561.732923035,108562.423928276
