latency_s,ok,start,end
0.3709566490724683,True,1750052.678333026,1750053.049289675
0.36062322719953954,True,1750052.690123177,1750053.050746404
0.36247834702953696,True,1750052.691137108,1750053.053615455
0.32264271285384893,True,1750052.73540135,1750053.058044063
0.3629678429570049,True,1750052.697721698,1750053.060689541
0.3647145419381559,True,1750052.696113978,1750053.06082852
0.3163877301849425,True,1750052.751610722,1750053.067998452
0.32432436710223556,True,1750052.753357,1750053.077681367
0.38492920296266675,True,1750052.695005373,1750053.079934576
0.32835084688849747,True,1750052.751967061,1750053.080317908
0.3688514460809529,True,1750052.714036023,1750053.082887469
0.40164586598984897,True,1750052.68359686,1750053.085242726
0.32838011300191283,True,1750052.760570056,1750053.088950169
0.31582767702639103,True,1750052.773208729,1750053.089036406
0.3417079499922693,True,1750052.757365255,1750053.099073205
0.4441400640644133,True,1750052.655012054,1750053.099152118
0.33417231985367835,True,1750052.765070473,1750053.099242793
0.34743226505815983,True,1750052.759052079,1750053.106484344
0.3394018679391593,True,1750052.769967989,1750053.109369857
0.3529588491655886,True,1750052.767995993,1750053.120954842
0.3896511900238693,True,1750052.733306828,1750053.122958018
0.4382401490584016,True,1750052.685691993,1750053.123932142
0.38579842587932944,True,1750052.743100085,1750053.128898511
0.4061703411862254,True,1750052.722798125,1750053.128968466
0.35413064481690526,True,1750052.780774878,1750053.134905523
0.38955199904739857,True,1750052.745901475,1750053.135453474
0.38821763708256185,True,1750052.747311283,1750053.13552892
0.4486545789986849,True,1750052.688389512,1750053.137044091
0.4099172498099506,True,1750052.734940268,1750053.144857518
0.36955852387472987,True,1750052.781120798,1750053.150679322
0.36662524892017245,True,1750052.784120501,1750053.15074575
0.3668921859934926,True,1750052.783905866,1750053.150798052
0.36542367516085505,True,1750052.785429824,1750053.150853499
0.4782169049140066,True,1750052.686267968,1750053.164484873
0.4336860980838537,True,1750052.737769692,1750053.17145579
0.43333163182251155,True,1750052.738266203,1750053.171597835
0.3832435419317335,True,1750052.793181933,1750053.176425475
0.3837480980437249,True,1750052.795147486,1750053.178895584
0.38023898913525045,True,1750052.799986959,1750053.180225948
0.379154710797593,True,1750052.801524304,1750053.180679015
0.5991454948671162,True,1750052.71061286,1750053.309758355
0.589865290094167,True,1750052.719959524,1750053.309824814
0.5433442930225283,True,1750052.766545186,1750053.309889479
0.5413291528820992,True,1750052.768613348,1750053.309942501
0.5875876529607922,True,1750052.722394415,1750053.309982068
